date,price
04-01-16,47.5
05-01-16,47.5
06-01-16,47.5
07-01-16,47.5
08-01-16,47.5
09-01-16,47.5
10-01-16,47.5
11-01-16,47.5
12-01-16,47.5
13-01-16,47.5
14-01-16,47.5
15-01-16,47.5
16-01-16,47.5
17-01-16,47.5
18-01-16,47
19-01-16,47
20-01-16,47
21-01-16,47
22-01-16,47
23-01-16,47
24-01-16,47
25-01-16,47
26-01-16,47
27-01-16,47
28-01-16,47
29-01-16,47
30-01-16,47
31-01-16,47
01-02-16,47
02-02-16,47
03-02-16,47
04-02-16,47
05-02-16,47
06-02-16,47
07-02-16,47
08-02-16,47
09-02-16,47
10-02-16,47
11-02-16,47
12-02-16,47
13-02-16,47
14-02-16,47
15-02-16,45.5
16-02-16,45.5
17-02-16,45.5
18-02-16,45.5
19-02-16,45.5
20-02-16,45.5
21-02-16,45.5
22-02-16,46
23-02-16,46
24-02-16,46
25-02-16,46
26-02-16,46
27-02-16,46
28-02-16,46
29-02-16,46
01-03-16,46
02-03-16,46
03-03-16,46
04-03-16,46
05-03-16,46
06-03-16,46
07-03-16,48
08-03-16,48
09-03-16,48
10-03-16,48
11-03-16,48
12-03-16,48
13-03-16,48
14-03-16,48
15-03-16,48
16-03-16,48
17-03-16,48
18-03-16,48
19-03-16,48
20-03-16,48
21-03-16,49
22-03-16,49
23-03-16,49
24-03-16,49
25-03-16,49
26-03-16,49
27-03-16,49
28-03-16,49.5
29-03-16,49.5
30-03-16,49.5
31-03-16,49.5
01-04-16,49.5
02-04-16,49.5
03-04-16,49.5
04-04-16,49.5
05-04-16,49.5
06-04-16,49.5
07-04-16,49.5
08-04-16,49.5
09-04-16,49.5
10-04-16,49.5
11-04-16,49.5
12-04-16,49.5
13-04-16,49.5
14-04-16,49.5
15-04-16,49.5
16-04-16,49.5
17-04-16,49.5
18-04-16,49.5
19-04-16,49.5
20-04-16,49.5
21-04-16,49.5
22-04-16,49.5
23-04-16,49.5
24-04-16,49.5
25-04-16,50
26-04-16,50
27-04-16,50
28-04-16,50
29-04-16,50
30-04-16,50
01-05-16,50
02-05-16,50
03-05-16,50
04-05-16,50
05-05-16,50
06-05-16,50
07-05-16,50
08-05-16,50
09-05-16,50
10-05-16,50
11-05-16,50
12-05-16,50
13-05-16,50
14-05-16,50
15-05-16,50
16-05-16,50
17-05-16,50
18-05-16,50
19-05-16,50
20-05-16,50
21-05-16,50
22-05-16,50
23-05-16,50
24-05-16,50
25-05-16,50
26-05-16,50
27-05-16,50
28-05-16,50
29-05-16,50
30-05-16,50
31-05-16,50
01-06-16,49
02-06-16,49
03-06-16,49
04-06-16,49
05-06-16,49
06-06-16,49
07-06-16,49
08-06-16,49
09-06-16,49
10-06-16,49
11-06-16,49
12-06-16,49
13-06-16,48
14-06-16,48
15-06-16,48
16-06-16,48
17-06-16,48
18-06-16,48
19-06-16,48
20-06-16,48
21-06-16,48
22-06-16,48
23-06-16,48
24-06-16,48
25-06-16,48
26-06-16,48
27-06-16,48
28-06-16,48
29-06-16,48
30-06-16,48
01-07-16,48
02-07-16,48
03-07-16,48
04-07-16,48.5
05-07-16,48.5
06-07-16,48.5
07-07-16,48.5
